Paragraph,yake_keywords,yake_execution_time
HNB Finance subsidiary Hatton National Bank PLC unblemished record almost two decades leader finance industry diverse portfolio financial products services .,"['Hatton National Bank', 'National Bank PLC', 'Bank PLC unblemished', 'subsidiary Hatton National', 'HNB Finance subsidiary', 'Finance subsidiary Hatton', 'PLC unblemished record', 'financial products services', 'decades leader finance', 'leader finance industry']",0.07085609436035156
Mehewara fund series ongoing CSR projects our customers need . fund financial contribution our dedicated employees organisation .,"['series ongoing CSR', 'ongoing CSR projects', 'dedicated employees organisation', 'Mehewara fund series', 'fund series ongoing', 'fund financial contribution', 'ongoing CSR', 'CSR projects', 'employees organisation', 'Mehewara fund']",0.021336793899536133
"News Updates our latest news updates . HNB FINANCE partners Kiya.ai January , HNB FINANCE presence branch Mullaitivu January , HNB FINANCE International Women s Day March , HNB Finance young minds Yalu Daskam Art Workshop Wijeyawardana Vidyalaya February , HNB FINANCE partners Kiya.ai January , HNB FINANCE presence branch Mullaitivu January , HNB FINANCE International Women s Day March , HNB Finance young minds Yalu Daskam Art Workshop Wijeyawardana Vidyalaya February , prev next","['HNB FINANCE International', 'HNB FINANCE partners', 'HNB FINANCE presence', 'HNB Finance young', 'FINANCE International Women', 'Wijeyawardana Vidyalaya February', 'Yalu Daskam Art', 'Daskam Art Workshop', 'Art Workshop Wijeyawardana', 'Workshop Wijeyawardana Vidyalaya']",0.02424001693725586
HNB FINANCE International Women s Day March,"['HNB FINANCE International', 'FINANCE International Women', 'HNB FINANCE', 'Day March', 'FINANCE International', 'International Women', 'Women s Day', 'HNB', 'March', 'FINANCE']",0.016628503799438477
Our keen focus entrepreneurs across country us SME SSE communities their full potential .,"['SME SSE communities', 'SME SSE', 'keen focus entrepreneurs', 'country us SME', 'SSE communities', 'full potential', 'keen focus', 'focus entrepreneurs', 'entrepreneurs across country', 'communities their full']",0.016908645629882812
HNB FINANCE presence branch Mullaitivu,"['HNB FINANCE presence', 'presence branch Mullaitivu', 'HNB FINANCE', 'FINANCE presence branch', 'branch Mullaitivu', 'FINANCE presence', 'HNB', 'Mullaitivu', 'presence branch', 'FINANCE']",0.01650857925415039
News Updates our latest news updates .,"['latest news updates', 'Updates our latest', 'Updates', 'latest']",0.0
HNB FINANCE partners Kiya.ai January,"['HNB FINANCE partners', 'partners Kiya.ai January', 'FINANCE partners Kiya.ai', 'HNB FINANCE', 'Kiya.ai January', 'FINANCE partners', 'partners Kiya.ai', 'HNB', 'January', 'FINANCE']",0.0
"HNB FINANCE partners Kiya.ai January , HNB FINANCE presence branch Mullaitivu January , HNB FINANCE International Women s Day March , HNB Finance young minds Yalu Daskam Art Workshop Wijeyawardana Vidyalaya February , HNB FINANCE partners Kiya.ai January , HNB FINANCE presence branch Mullaitivu January , HNB FINANCE International Women s Day March , HNB Finance young minds Yalu Daskam Art Workshop Wijeyawardana Vidyalaya February","['HNB FINANCE International', 'HNB FINANCE partners', 'HNB FINANCE presence', 'HNB Finance young', 'FINANCE International Women', 'Wijeyawardana Vidyalaya February', 'Yalu Daskam Art', 'Daskam Art Workshop', 'Art Workshop Wijeyawardana', 'Workshop Wijeyawardana Vidyalaya']",0.0333552360534668
Success Stories Our keen focus entrepreneurs across country us SME SSE communities their full potential .,"['SME SSE communities', 'SME SSE', 'Success Stories', 'keen focus entrepreneurs', 'Stories Our keen', 'country us SME', 'SSE communities', 'full potential', 'keen focus', 'focus entrepreneurs']",0.016391515731811523
Customers Employees Branches,"['Customers Employees Branches', 'Employees Branches', 'Customers Employees', 'Branches', 'Employees', 'Customers']",0.0
HNB Finance young minds Yalu Daskam Art Workshop Wijeyawardana Vidyalaya,"['Workshop Wijeyawardana Vidyalaya', 'Yalu Daskam Art', 'Daskam Art Workshop', 'Art Workshop Wijeyawardana', 'HNB Finance young', 'minds Yalu Daskam', 'HNB Finance', 'Wijeyawardana Vidyalaya', 'Finance young minds', 'young minds Yalu']",0.016763687133789062
Mehewara CSR Projects,"['Mehewara CSR Projects', 'CSR Projects', 'Mehewara CSR', 'Projects', 'CSR', 'Mehewara']",0.0
HNB Finance oasis Mohoththuwarama Primary School,"['Mohoththuwarama Primary School', 'HNB Finance oasis', 'Finance oasis Mohoththuwarama', 'oasis Mohoththuwarama Primary', 'HNB Finance', 'Primary School', 'Mohoththuwarama Primary', 'Finance oasis', 'oasis Mohoththuwarama', 'HNB']",0.033371686935424805
"I benefit money business while I able loan without any guarantors through Swashakthi Savings , I able easily money I .","['benefit money business', 'Swashakthi Savings', 'guarantors through Swashakthi', 'benefit money', 'money business', 'easily money', 'Savings', 'Swashakthi', 'money', 'benefit']",0.016632556915283203
"Us financial institution passionate team customer centric , well diversified products services responsible sustainable","['team customer centric', 'services responsible sustainable', 'financial institution passionate', 'institution passionate team', 'passionate team customer', 'diversified products services', 'products services responsible', 'customer centric', 'responsible sustainable', 'financial institution']",0.033214569091796875
"Us financial institution passionate team customer centric , well diversified products services responsible sustainable way . Customers Employees Branches","['Customers Employees Branches', 'team customer centric', 'Employees Branches', 'passionate team customer', 'financial institution passionate', 'institution passionate team', 'diversified products services', 'products services responsible', 'services responsible sustainable', 'Customers Employees']",0.04347038269042969
Great Place TAGS Awards,"['Place TAGS Awards', 'Great Place TAGS', 'TAGS Awards', 'Place TAGS', 'Great Place', 'Awards', 'Place', 'TAGS', 'Great']",0.008095026016235352
This website cookies best experience our website .,"['cookies best experience', 'website cookies', 'experience our website', 'website', 'cookies', 'experience']",0.0070002079010009766
Products your future products growth,"['future products growth', 'products growth', 'future products', 'growth', 'Products your future', 'Products', 'future']",0.0039861202239990234
HNB FINANCE been immense strength our lives,"['HNB FINANCE', 'FINANCE been immense', 'strength our lives', 'HNB', 'immense strength', 'FINANCE', 'lives', 'immense', 'strength']",0.007422685623168945
HNB Finance PLC,"['HNB Finance PLC', 'HNB Finance', 'Finance PLC', 'HNB', 'PLC', 'Finance']",0.0029854774475097656
"financial institution passionate team customer centric , well diversified products services responsible sustainable","['financial institution passionate', 'team customer centric', 'services responsible sustainable', 'institution passionate team', 'passionate team customer', 'diversified products services', 'products services responsible', 'financial institution', 'customer centric', 'responsible sustainable']",0.03946685791015625
Services Convenience Flexibility,"['Services Convenience Flexibility', 'Convenience Flexibility', 'Services Convenience', 'Flexibility', 'Convenience', 'Services']",0.0020089149475097656
Mehewara CSR Projects Mehewara fund series ongoing CSR projects our customers need . fund financial contribution our dedicated employees organisation .,"['Mehewara CSR Projects', 'CSR Projects Mehewara', 'ongoing CSR projects', 'series ongoing CSR', 'dedicated employees organisation', 'CSR Projects', 'Projects Mehewara fund', 'Mehewara fund series', 'fund series ongoing', 'fund financial contribution']",0.03589034080505371
HNB FINANCE International Women s Day,"['HNB FINANCE International', 'FINANCE International Women', 'HNB FINANCE', 'Women s Day', 'FINANCE International', 'International Women', 'HNB', 'Day', 'FINANCE', 'International']",0.011849403381347656
HNB Finance PLC Strength Strength HNB Finance subsidiary Hatton National Bank PLC unblemished record almost two decades leader finance industry diverse portfolio financial products services .,"['Hatton National Bank', 'National Bank PLC', 'Strength Strength HNB', 'subsidiary Hatton National', 'HNB Finance PLC', 'Strength HNB Finance', 'PLC Strength Strength', 'Bank PLC unblemished', 'Finance PLC Strength', 'Finance subsidiary Hatton']",0.03007674217224121
"HNB FINANCE been immense strength our lives HNB FINANCE been our financial partner over years now . Therefore , we have been able business so . I benefit money business while I able loan without any guarantors through Swashakthi Savings , I able easily money I .","['lives HNB FINANCE', 'HNB FINANCE', 'benefit money business', 'Swashakthi Savings', 'FINANCE been immense', 'lives HNB', 'guarantors through Swashakthi', 'immense strength', 'strength our lives', 'financial partner']",0.01831531524658203
HNB Finance young minds Yalu Daskam Art Workshop Wijeyawardana Vidyalaya February,"['Wijeyawardana Vidyalaya February', 'Yalu Daskam Art', 'Daskam Art Workshop', 'Art Workshop Wijeyawardana', 'Workshop Wijeyawardana Vidyalaya', 'HNB Finance young', 'minds Yalu Daskam', 'HNB Finance', 'Vidyalaya February', 'Finance young minds']",0.0219271183013916
"HNB FINANCE been our financial partner over years now . Therefore , we have been able business","['HNB FINANCE', 'financial partner', 'partner over years', 'HNB', 'FINANCE', 'business', 'financial', 'partner', 'years']",0.007491588592529297
your future products growth,"['future products growth', 'products growth', 'future products', 'growth', 'future', 'products']",0.0031104087829589844
HNB Finance oasis Mohoththuwarama Primary School Sri Lanka s financial service provider HNB Finance water purification system Mohoththuwarama,"['Primary School Sri', 'School Sri Lanka', 'Mohoththuwarama Primary School', 'HNB Finance oasis', 'provider HNB Finance', 'HNB Finance water', 'oasis Mohoththuwarama Primary', 'Finance oasis Mohoththuwarama', 'service provider HNB', 'Finance water purification']",0.03812742233276367
"HNB FINANCE been immense strength our lives HNB FINANCE been our financial partner over years now . Therefore , we have been able business","['lives HNB FINANCE', 'HNB FINANCE', 'FINANCE been immense', 'lives HNB', 'immense strength', 'strength our lives', 'financial partner', 'partner over years', 'FINANCE', 'HNB']",0.023301362991333008
Sri Lanka s financial service provider HNB Finance water purification system Mohoththuwarama,"['provider HNB Finance', 'HNB Finance water', 'purification system Mohoththuwarama', 'service provider HNB', 'Finance water purification', 'HNB Finance', 'Sri Lanka', 'system Mohoththuwarama', 'financial service provider', 'water purification system']",0.04038190841674805
Strength Born Strength,"['Strength Born Strength', 'Strength Born', 'Born Strength', 'Strength', 'Born']",0.003002166748046875
our latest news updates .,"['latest news updates', 'updates', 'latest']",0.0008978843688964844
"HNB FINANCE partners Kiya.ai January , HNB FINANCE presence branch Mullaitivu January , HNB FINANCE International Women s Day March , HNB Finance young minds Yalu Daskam Art Workshop Wijeyawardana Vidyalaya February , HNB FINANCE partners Kiya.ai January , HNB FINANCE presence branch Mullaitivu January , HNB FINANCE International Women s Day March , HNB Finance young minds Yalu Daskam Art Workshop Wijeyawardana Vidyalaya February , prev next","['HNB FINANCE International', 'HNB FINANCE partners', 'HNB FINANCE presence', 'HNB Finance young', 'FINANCE International Women', 'Wijeyawardana Vidyalaya February', 'Yalu Daskam Art', 'Daskam Art Workshop', 'Art Workshop Wijeyawardana', 'Workshop Wijeyawardana Vidyalaya']",0.04735255241394043
HNB FINANCE partners Kiya .,"['HNB FINANCE partners', 'FINANCE partners Kiya', 'HNB FINANCE', 'partners Kiya', 'FINANCE partners', 'HNB', 'Kiya', 'FINANCE', 'partners']",0.01150822639465332
"Services Convenience Flexibility HNB Finance PLC Strength Strength HNB Finance subsidiary Hatton National Bank PLC unblemished record almost two decades leader finance industry diverse portfolio financial products services . Products your future products growth Success Stories Our keen focus entrepreneurs across country us SME SSE communities their full potential . HNB FINANCE been immense strength our lives HNB FINANCE been our financial partner over years now . Therefore , we have been able business so . I benefit money business while I able loan without any guarantors through Swashakthi Savings , I able easily money I . Us financial institution passionate team customer centric , well diversified products services responsible sustainable way . Customers Employees Branches Mehewara CSR Projects Mehewara fund series ongoing CSR projects our customers need . fund financial contribution our dedicated employees organisation . HNB Finance oasis Mohoththuwarama Primary School Sri Lanka s financial service provider HNB Finance water purification system Mohoththuwarama Pri . News Updates our latest news updates . HNB FINANCE partners Kiya.ai January , HNB FINANCE presence branch Mullaitivu January , HNB FINANCE International Women s Day March , HNB Finance young minds Yalu Daskam Art Workshop Wijeyawardana Vidyalaya February , HNB FINANCE partners Kiya.ai January , HNB FINANCE presence branch Mullaitivu January , HNB FINANCE International Women s Day March , HNB Finance young minds Yalu Daskam Art Workshop Wijeyawardana Vidyalaya February , prev next Great Place TAGS Awards","['HNB FINANCE International', 'FINANCE International Women', 'Wijeyawardana Vidyalaya February', 'Yalu Daskam Art', 'Daskam Art Workshop', 'Art Workshop Wijeyawardana', 'Workshop Wijeyawardana Vidyalaya', 'HNB FINANCE presence', 'HNB Finance young', 'HNB FINANCE partners']",0.08257675170898438
HNB FINANCE presence branch Mullaitivu January,"['HNB FINANCE presence', 'branch Mullaitivu January', 'HNB FINANCE', 'Mullaitivu January', 'FINANCE presence branch', 'presence branch Mullaitivu', 'FINANCE presence', 'branch Mullaitivu', 'HNB', 'January']",0.026533126831054688
"I able loan without any guarantors through Swashakthi Savings , I able easily money I .","['Swashakthi Savings', 'guarantors through Swashakthi', 'easily money', 'Savings', 'Swashakthi', 'loan', 'guarantors', 'easily', 'money']",0.007628440856933594
Mehewara CSR Projects Mehewara fund series ongoing CSR projects our customers need . fund financial contribution our dedicated employees organisation . HNB Finance oasis Mohoththuwarama Primary School Sri Lanka s financial service provider HNB Finance water purification system Mohoththuwarama,"['Primary School Sri', 'School Sri Lanka', 'Mohoththuwarama Primary School', 'HNB Finance oasis', 'provider HNB Finance', 'HNB Finance water', 'oasis Mohoththuwarama Primary', 'Mehewara CSR Projects', 'CSR Projects Mehewara', 'Finance oasis Mohoththuwarama']",0.04728507995605469
"Success Stories Our keen focus entrepreneurs across country us SME SSE communities their full potential . HNB FINANCE been immense strength our lives HNB FINANCE been our financial partner over years now . Therefore , we have been able business so . I benefit money business while I able loan without any guarantors through Swashakthi Savings , I able easily money I .","['lives HNB FINANCE', 'SME SSE communities', 'keen focus entrepreneurs', 'HNB FINANCE', 'benefit money business', 'Swashakthi Savings', 'SME SSE', 'Success Stories', 'FINANCE been immense', 'lives HNB']",0.03640437126159668
I benefit money business while,"['benefit money business', 'benefit money', 'money business', 'benefit', 'money', 'business']",0.0019979476928710938
>>>>>>> d20d6d7450c5cdd2218a399775421983b46d0a1f
